obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
197, 204.8, 128970, 44747, 62489, 7147, 11697, 17715, 1739, 2081, 60, 60, NA, 276585,  X
198, 204.9, 79079, 62611, 33761, 28997, 26459, 15230, 2240, 1601, 69, 53, NA, 249978,  X
199, 205.9, 81563, 161737, 56379, 6333, 18372, 15831, 14295, 4279, 74, 54, NA, 358789,  X
200, 207.0, 75195, 31505, 106241, 10078, 17827, 6654, 5527, 2024, 56, 75, NA, 255051,  X
201, 208.0, 232336, 56061, 56501, 10611, 11719, 8247, 3711, 1439, 44, 75, NA, 380625,  X
202, 209.0, 103873, 6700, 5425, 7682, 3756, 1847, 485, 1153, 43, 80, NA, 130921,  X
203, 209.9, 76645, 185510, 52264, 85142, 21122, 19698, 3126, 4493, 40, 87, NA, 448000,  X
204, 210.9, 43358, 61061, 17244, 8160, 16791, 5706, 2381, 3407, 47, 64, NA, 158108,  X
205, 211.9, 474373, 96729, 57874, 30525, 24908, 29700, 4006, 1993, 57, 57, NA, 720108,  X
206, 212.9, 51837, 81068, 26856, 18547, 13459, 16400, 5557, 2571, 63, 48, NA, 216295,  X
207, 213.9, 14241, 27264, 63370, 27514, 15746, 5609, 1302, 1438, 57, 61, NA, 156484,  X
208, 215.0, 18326, 57708, 72851, 16001, 25456, 20867, 4525, 2419, 67, 74, NA, 218153,  X
209, 215.9, 694737, 145536, 121640, 116026, 32217, 41959, 4165, 4517, 64, 81, NA, 1160797,  X
210, 216.9, 170146, 110911, 48046, 38905, 20511, 24796, 1622, 1359, 63, 83, NA, 416296,  X
211, 217.9, 59964, 31483, 6055, 7553, 2959, 8525, 1630, 696, 81, 63, NA, 118865,  X
212, 219.1, 79161, 67795, 110810, 17583, 9505, 5760, 1850, 3382, 61, 69, NA, 295846,  X
213, 220.0, 521544, 97715, 22657, 98528, 50662, 50791, 3176, 3213, 69, 63, NA, 848286,  X
214, 221.0, 180361, 107108, 61036, 59106, 14831, 17921, 3264, 3373, 64, 67, NA, 447000,  X
215, 222.0, 71651, 92832, 50787, 57948, 26484, 17637, 3964, 6359, 54, 78, NA, 327662,  X
216, 222.9, 184796, 69923, 9366, 17479, 11798, 5659, 6305, 1454, 63, 60, NA, 306780,  X
